,list,messageid,committerid,commit_datetime,file_operation,file_name,addlines,dellines,id,file_id,authorid,author_datetime,c_peopleid,a_peopleid,sha_or_rev,format,datetime
0,54,4bcd9b14562c4e8aaf27d4a329d4cd7d@git.apache.org,2846,2018-08-29 13:25:07-07,add,git-wip-us.apache.org/repos/asf/incubator-airflow-site/blob/7d4d7628/_modules/airflow/contrib/operators/gcp_container_operator.html,390,0,9413,8743,2846,2018-08-29 13:25:07-07,,,,git,2018-08-29 13:25:07-07
1,54,4bcd9b14562c4e8aaf27d4a329d4cd7d@git.apache.org,2846,2018-08-29 13:25:07-07,mod,git-wip-us.apache.org/repos/asf/incubator-airflow-site/blob/7d4d7628/_modules/airflow/contrib/operators/gcs_download_operator.html,25,39,9414,8744,2846,2018-08-29 13:25:07-07,,,,git,2018-08-29 13:25:07-07
2,54,4bcd9b14562c4e8aaf27d4a329d4cd7d@git.apache.org,2846,2018-08-29 13:25:07-07,mod,git-wip-us.apache.org/repos/asf/incubator-airflow-site/blob/7d4d7628/_modules/airflow/contrib/operators/gcs_list_operator.html,20,36,9415,8745,2846,2018-08-29 13:25:07-07,,,,git,2018-08-29 13:25:07-07
3,54,cd48319ce8b04648b598a5ccee513834@git.apache.org,2846,2018-08-29 13:25:14-07,add,git-wip-us.apache.org/repos/asf/incubator-airflow-site/blob/7d4d7628/_modules/airflow/contrib/hooks/cassandra_hook.html,400,0,9416,8746,2846,2018-08-29 13:25:14-07,,,,git,2018-08-29 13:25:14-07
4,54,cd48319ce8b04648b598a5ccee513834@git.apache.org,2846,2018-08-29 13:25:14-07,add,git-wip-us.apache.org/repos/asf/incubator-airflow-site/blob/7d4d7628/_modules/airflow/contrib/hooks/cloudant_hook.html,301,0,9417,8747,2846,2018-08-29 13:25:14-07,,,,git,2018-08-29 13:25:14-07
5,54,cd48319ce8b04648b598a5ccee513834@git.apache.org,2846,2018-08-29 13:25:14-07,mod,git-wip-us.apache.org/repos/asf/incubator-airflow-site/blob/7d4d7628/_modules/airflow/contrib/hooks/databricks_hook.html,22,38,9418,8748,2846,2018-08-29 13:25:14-07,,,,git,2018-08-29 13:25:14-07
6,54,cd48319ce8b04648b598a5ccee513834@git.apache.org,2846,2018-08-29 13:25:14-07,mod,git-wip-us.apache.org/repos/asf/incubator-airflow-site/blob/7d4d7628/_modules/airflow/contrib/hooks/datadog_hook.html,24,39,9419,8749,2846,2018-08-29 13:25:14-07,,,,git,2018-08-29 13:25:14-07
7,54,cd48319ce8b04648b598a5ccee513834@git.apache.org,2846,2018-08-29 13:25:14-07,mod,git-wip-us.apache.org/repos/asf/incubator-airflow-site/blob/7d4d7628/_modules/airflow/contrib/hooks/datastore_hook.html,42,46,9420,8750,2846,2018-08-29 13:25:14-07,,,,git,2018-08-29 13:25:14-07
8,54,c8e22692c1bd4e22ae91f87a04b1994c@git.apache.org,2846,2018-08-29 13:25:10-07,mod,git-wip-us.apache.org/repos/asf/incubator-airflow-site/blob/7d4d7628/_modules/airflow/contrib/hooks/vertica_hook.html,18,35,9421,8751,2846,2018-08-29 13:25:10-07,,,,git,2018-08-29 13:25:10-07
9,54,c8e22692c1bd4e22ae91f87a04b1994c@git.apache.org,2846,2018-08-29 13:25:10-07,mod,git-wip-us.apache.org/repos/asf/incubator-airflow-site/blob/7d4d7628/_modules/airflow/contrib/hooks/wasb_hook.html,16,33,9422,8752,2846,2018-08-29 13:25:10-07,,,,git,2018-08-29 13:25:10-07
10,54,c8e22692c1bd4e22ae91f87a04b1994c@git.apache.org,2846,2018-08-29 13:25:10-07,add,git-wip-us.apache.org/repos/asf/incubator-airflow-site/blob/7d4d7628/_modules/airflow/contrib/hooks/winrm_hook.html,355,0,9423,8753,2846,2018-08-29 13:25:10-07,,,,git,2018-08-29 13:25:10-07
11,54,c8e22692c1bd4e22ae91f87a04b1994c@git.apache.org,2846,2018-08-29 13:25:10-07,mod,git-wip-us.apache.org/repos/asf/incubator-airflow-site/blob/7d4d7628/_modules/airflow/contrib/kubernetes/secret.html,14,31,9424,8754,2846,2018-08-29 13:25:10-07,,,,git,2018-08-29 13:25:10-07
12,54,c8e22692c1bd4e22ae91f87a04b1994c@git.apache.org,2846,2018-08-29 13:25:10-07,mod,git-wip-us.apache.org/repos/asf/incubator-airflow-site/blob/7d4d7628/_modules/airflow/contrib/operators/awsbatch_operator.html,40,48,9425,8755,2846,2018-08-29 13:25:10-07,,,,git,2018-08-29 13:25:10-07
13,54,c8e22692c1bd4e22ae91f87a04b1994c@git.apache.org,2846,2018-08-29 13:25:10-07,mod,git-wip-us.apache.org/repos/asf/incubator-airflow-site/blob/7d4d7628/_modules/airflow/contrib/operators/bigquery_check_operator.html,18,34,9426,8756,2846,2018-08-29 13:25:10-07,,,,git,2018-08-29 13:25:10-07
14,54,c8e22692c1bd4e22ae91f87a04b1994c@git.apache.org,2846,2018-08-29 13:25:10-07,mod,git-wip-us.apache.org/repos/asf/incubator-airflow-site/blob/7d4d7628/_modules/airflow/contrib/operators/bigquery_get_data.html,19,36,9427,8757,2846,2018-08-29 13:25:10-07,,,,git,2018-08-29 13:25:10-07
15,54,c8e22692c1bd4e22ae91f87a04b1994c@git.apache.org,2846,2018-08-29 13:25:10-07,mod,git-wip-us.apache.org/repos/asf/incubator-airflow-site/blob/7d4d7628/_modules/airflow/contrib/operators/bigquery_operator.html,70,51,9428,8758,2846,2018-08-29 13:25:10-07,,,,git,2018-08-29 13:25:10-07
16,256,8196154a61014effba87eb8d7dfd6faf@git.apache.org,4851,2017-03-07 19:22:45-08,mod,git-wip-us.apache.org/repos/asf/incubator-ariatosca/blob/aa01cd4e/aria/orchestrator/workflows/builtin/execute_operation.py,9,9,26599,20380,4851,2017-03-07 10:13:28-08,,,aa01cd4e9a60507bafb98707c7793c3a89424db8,git,2017-03-09 09:20:37-08
17,256,8196154a61014effba87eb8d7dfd6faf@git.apache.org,4851,2017-03-07 19:22:45-08,mod,git-wip-us.apache.org/repos/asf/incubator-ariatosca/blob/aa01cd4e/aria/orchestrator/workflows/builtin/heal.py,94,94,26600,20381,4851,2017-03-07 10:13:28-08,,,aa01cd4e9a60507bafb98707c7793c3a89424db8,git,2017-03-09 09:20:37-08
